23268, 20211217.37, great_expectations, failed, completed,        N/A (usage stats)
23556, 20211221.4, great_expectations, failed, completed,         N/A (usage stats)
23565, 20211221.7, great_expectations, failed, completed,         N/A (checkout error)
23652, 20211221.29, great_expectations, succeeded, completed,     N/A (checkout error)
23685, 20211222.6, great_expectations, succeeded, completed,      N/A (mismatch between Rob/Nathan PRs)
23689, 20211222.7, great_expectations, failed, completed,         N/A (mismatch between Rob/Nathan PRs)
23697, 20211222.9, great_expectations, succeeded, completed,      N/A (google credential issue)
23705, 20211222.11, great_expectations, failed, completed,        N/A (google credential issue)
23717, 20211223.2, great_expectations, failed, completed,         N/A (usage stats)
23806, 20211223.28, great_expectations, failed, completed,        N/A (checkout error)
23830, 20211223.34, great_expectations, succeeded, completed,     N/A (skipped run)
23860, 20211225.1, great_expectations, failed, completed,         N/A (renderer test failure due to shared state)
23973, 20211227.23, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
24022, 20211228.12, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
24038, 20211228.16, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
24220, 20211229.7, great_expectations, failed, completed,         N/A (vega CDN issue)
24239, 20211229.12, great_expectations, failed, completed,        N/A (vega CDN issue)
24247, 20211229.14, great_expectations, succeeded, completed,     N/A (checkout error)
24299, 20211229.27, great_expectations, failed, completed,        N/A (vega CDN issue)
24354, 20211229.41, great_expectations, failed, completed,        N/A (vega CDN issue)
24365, 20211230.1, great_expectations, failed, completed,         N/A (vega CDN issue)
24373, 20211230.3,  great_expectations, failed, completed,        N/A (vega CDN issue)
24697, 20220103.17, great_expectations, failed, completed,        N/A (usage stats)
24825, 20220104.3, great_expectations, failed, completed,         N/A (usage stats)
24834, 20220104.5, great_expectations, failed, completed,         N/A (usage stats)
24853, 20220104.10, great_expectations, failed, completed,        N/A (usage stats)
24873, 20220104.15, great_expectations, failed, completed,        N/A (both pipelines passed)
24901, 20220104.22, great_expectations, failed, completed,        N/A (usage stats)
24953, 20220104.36, great_expectations, succeeded, completed,     N/A (checkout error)
24957, 20220104.37, great_expectations, failed, completed,        N/A (usage stats)
25129, 20220105.38, great_expectations, failed, completed,        N/A (usage stats)
25151, 20220105.44, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
25179, 20220105.51, great_expectations, failed, completed,        N/A (usage stats)
25199, 20220105.56, great_expectations, failed, completed,        N/A (usage stats)
25265, 20220106.15, great_expectations, failed, completed,        N/A (usage stats)
25273, 20220106.17, great_expectations, failed, completed,        N/A (checkout error)
25330, 20220106.31, great_expectations, failed, completed,        N/A (test branch that broke Azure YAML)
25453, 20220107.1, great_expectations, failed, completed,         DEVIATION (dgtest did not pick up the CFE tests after a SQLite change) - See PR 3958 (96b0d7f4)
25481, 20220107.8, great_expectations, failed, completed,         N/A (usage stats)
25557, 20220107.27, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
25624, 20220107.44, great_expectations, failed, completed,        N/A (usage stats)
25690, 20220110.7, great_expectations, failed, completed,         N/A (one-off sqlite issue)
25710, 20220110.12, great_expectations, failed, completed,        N/A (usage stats)
25883, 20220112.29, great_expectations, failed, completed,        N/A (usage stats)
25903, 20220112.34, great_expectations, failed, completed,        N/A (checkout error)
26002, 20220113.13, great_expectations, failed, completed,        DEVIATION (dgtest did not pick up the CFE tests after metrics change) - See PR 3989 (3d4122fc)
26006, 20220113.14, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
26036, 20220113.22, great_expectations, succeeded, completed,     N/A (renderer test failure due to shared state)
26087, 20220113.36, great_expectations, failed, completed,        N/A (usage stats)
26511, 20220115.11, great_expectations, failed, completed,        N/A (usage stats)
26635, 20220118.19, great_expectations, failed, completed,        N/A (both pipelines passed)
26725, 20220119.5, great_expectations, failed, completed,         N/A (usage stats)
26841, 20220119.35, great_expectations, failed, completed,        DEVIATION (was a simple .md change by Josh but one of the tests relied on the state of .md files) - See PR 4021 (6997a981)
27126, 20220121.23, great_expectations, succeeded, completed,     N/A (random CLI error that went away during retry)
27289, 20220124.21, great_expectations, succeeded, completed,     N/A (misalignment of PRs)
27297, 20220124.23, great_expectations, failed, completed,        N/A (misalignment of PRs)
27302, 20220124.26, great_expectations, succeeded, completed,     N/A (misalignment of PRs)
27403, 20220125.14, great_expectations, failed, completed,        N/A (usage stats)
27583, 20220125.59, great_expectations, failed, completed,        N/A (usage stats)
27623, 20220126.1, great_expectations, failed, completed,         DEVIATION (validator test did not run in dgtest) - See PR 4063 (d4b8b36b)
27661, 20220126.10, great_expectations, failed, completed,        N/A (usage stats)
27811, 20220126.48, great_expectations, failed, completed,        N/A (unrelated pandas issue)
28029, 20220127.31, great_expectations, failed, completed,        N/A (usage stats)
28134, 20220128.6, great_expectations, failed, completed,         N/A (usage stats)
28363, 20220128.64, great_expectations, failed, completed,        N/A (failure on 3.6 and 3.7 that would have been caught if dependency_graph tested more versions)
28381, 20220128.69, great_expectations, failed, completed,        N/A (usage stats)
28485, 20220129.9, great_expectations, failed, completed,         N/A (usage stats)
28513, 20220129.16, great_expectations, failed, completed,        N/A (usage stats)
28521, 20220129.18, great_expectations, failed, completed,        N/A (test change to tinker with dgtest)
28526, 20220129.19, great_expectations, failed, completed,        N/A (usage stats)
28578, 20220131.1, great_expectations, failed, completed,         N/A (pip topological sort issue)
28701, 20220131.32, great_expectations, failed, completed,        N/A (usage stats)
28946, 20220201.34, great_expectations, failed, completed,        N/A (usage stats)
